================================================================================
AEGIS EVACUATION GRAPH 2D ADJACENCY MATRIX [LIVE] (Saved: Wed Aug 26 12:04:05 2026)
Weights represent distance; -1 represents inaccessible / no connection
================================================================================

NODE              sim1      sim8     sim10     node4      sim2      sim9     sim11      sim7      sim6      sim5      sim3    EXIT-1    EXIT-2    EXIT-3    JUNC-1    JUNC-2    JUNC-3    JUNC-4    JUNC-5
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sim1               0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1     101.0        -1        -1        -1      89.0        -1        -1        -1
sim8                -1       0.0        -1        -1        -1        -1     207.0        -1        -1        -1        -1        -1        -1        -1        -1        -1     151.0        -1        -1
sim10               -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1     220.0        -1        -1     132.0        -1
node4               -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1     214.0     164.0        -1        -1        -1
sim2                -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1     326.0        -1        -1        -1        -1
sim9                -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1     239.0        -1        -1        -1        -1
sim11               -1     207.0        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1     176.0        -1
sim7                -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1     107.0
sim6                -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1     304.0        -1     134.0        -1        -1
sim5                -1        -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1     245.0        -1        -1        -1     123.0
sim3                -1        -1        -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1     133.0     173.0        -1        -1
EXIT-1           101.0        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1        -1        -1
EXIT-2              -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1        -1        -1     125.0
EXIT-3              -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1        -1       0.0        -1        -1        -1     125.0        -1
JUNC-1              -1        -1     220.0     214.0     326.0     239.0        -1        -1     304.0     245.0        -1        -1        -1        -1       0.0        -1        -1        -1        -1
JUNC-2            89.0        -1        -1     164.0        -1        -1        -1        -1        -1        -1     133.0        -1        -1        -1        -1       0.0        -1        -1        -1
JUNC-3              -1     151.0        -1        -1        -1        -1        -1        -1     134.0        -1     173.0        -1        -1        -1        -1        -1       0.0        -1        -1
JUNC-4              -1        -1     132.0        -1        -1        -1     176.0        -1        -1        -1        -1        -1        -1     125.0        -1        -1        -1       0.0        -1
JUNC-5              -1        -1        -1        -1        -1        -1        -1     107.0        -1     123.0        -1        -1     125.0        -1        -1        -1        -1        -1       0.0
